statnr;synnr;name;Bundesland;länge;breite;höhe Klimagarten;Barometerhöhe;datuma;Finanzierung;Ordnung;GPS-Vermessung;länge_dezi;breite_dezi
3315;11050;REICHENAU/MUEHLKREIS;Oberösterreich;142044;482733;689;693;20080731;ZAMG;TAWES;Ja;14,34555556;48,45916667
3425;11057;BAD ZELL;Oberösterreich;143949;482118;554;554;20081110;ZAMG;TAWES;Ja;14,66361111;48,355
3520;11367;BAERNKOPF;Niederösterreich;150010;482328;970;969;20031101;FREMD;TAWES;Ja;15,00277778;48,39111111
3702;11024;JAUERLING/ORF;Niederösterreich;152021;482004;955;961;19940101;ZAMG;TAWES;Ja;15,33916667;48,33444444
3805;11070;KREMS;Niederösterreich;153717;482506;203;203;19960201;ZAMG;TAWES / VAMES ;Ja;15,62138889;48,41833333
3811;11075;LANGENLOIS;Niederösterreich;154151;482821;207;209;19891101;ZAMG;TAWES;Ja;15,6975;48,4725
4030;11027;STOCKERAU;Niederösterreich;161133;482349;203;205;19970601;ZAMG;TAWES;Ja;16,1925;48,39694444
4081;11030;LANGENLEBARN;Niederösterreich;160705;481926;175;177;19920801;ZAMG;TAWES;Ja;16,11805556;48,32388889
4115;11042;WIEN/STAMMERSDORF;Wien;162420;481821;191;188;20081209;ZAMG;TAWES;Ja;16,40555556;48,30583333
4125;11045;WOLKERSDORF;Niederösterreich;163027;482249;185;186;20080723;ZAMG;TAWES;Ja;16,5075;48,38027778
4224;11048;GAENSERNDORF-STADT;Niederösterreich;164249;482016;163;164;20040101;ZAMG;TAWES;Ja;16,71361111;48,33777778
4305;11085;ZWERNDORF;Niederösterreich;164953;482017;144;146;19961217;ZAMG;TAWES;Ja;16,83138889;48,33805556
4501;11051;BRAUNAU/RANSHOFEN;Oberösterreich;130142;481327;382;388;19940601;ZAMG;TAWES;Ja;13,02833333;48,22416667
4515;11061;OSTERMIETHING;Oberösterreich;124956;480316;416;417;20080801;ZAMG;TAWES;Ja;12,83222222;48,05444444
4601;11062;ASPACH;Oberösterreich;131800;481059;427;426;20090708;FREMD;TAWES;Ja;13,3;48,18305556
4611;11049;MATTIGHOFEN;Oberösterreich;130904;480550;460;459;20080701;ZAMG;TAWES;Ja;13,15111111;48,09722222
